NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME
Bragança Paulista,BRAGA,ALL#WORLD#SOAME#BRA#BRANE#SAOPO,False,,CITY,BRA,3,CITY
Braganca Paulista,BRAGANCA_PAULISTA,ALL#WORLD#SOAME#BRA#BRANE#SAOPO,False,,CITY,BRA,3,CITY
Martinique,FRY2,ALL#WORLD#EUR#FRA#FRY,False,,REGION,FRA,2,DEPARTMENT
Martinique,MTQ,ALL#WORLD#EUR#FRA#OVERS,False,,STATE,FRA,2,DEPARTMENT
Calabria,ITF6,ALL#WORLD#EUR#ITA#ITF,False,,REGION,ITA,2,PROVINCE
Calabria,ITCAL,ALL#WORLD#EUR#ITA#ITAS,False,,STATE,ITA,2,PROVINCE
Lazio,ITI4,ALL#WORLD#EUR#ITA#ITI,False,,REGION,ITA,2,PROVINCE
Lazio,ITLAZ,ALL#WORLD#EUR#ITA#ITAC,False,,STATE,ITA,2,PROVINCE
Central Hungary,HU1,ALL#WORLD#EUR#HUN,False,,NATIONAL_REGION,HUN,1,CAPITAL CITY
Central Hungary,HUN_CENT,ALL#WORLD#EUR#HUN,False,,NATIONAL_REGION,HUN,1,CAPITAL CITY
Alsace,FRF1,ALL#WORLD#EUR#FRA#FRF,False,,REGION,FRA,2,DEPARTMENT
Alsace,ALSAC,ALL#WORLD#EUR#FRA#EASTF,False,,STATE,FRA,2,DEPARTMENT
Bagé,BAGE,ALL#WORLD#SOAME#BRA#BRASO#RIOGS,False,,CITY,BRA,3,CITY
Bage,BAGRI,ALL#WORLD#SOAME#BRA#BRASO#RIOGS,False,,CITY,BRA,3,CITY
Occitanie,OCCITANIE,ALL#WORLD#EUR#FRA,False,,REGION,FRA,1,METROPOLITAN REGION
Occitanie,FRJ,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION
Abruzzo,ITF1,ALL#WORLD#EUR#ITA#ITF,False,,REGION,ITA,2,PROVINCE
Abruzzo,ITABR,ALL#WORLD#EUR#ITA#ITAS,False,,STATE,ITA,2,PROVINCE
Languedoc-Roussillon,FRJ1,ALL#WORLD#EUR#FRA#FRJ,False,,REGION,FRA,2,DEPARTMENT
Languedoc-Roussillon,LANGU,ALL#WORLD#EUR#FRA#MEDIT,False,,STATE,FRA,2,DEPARTMENT
Maceió,MACERIO,ALL#WORLD#SOAME#BRA#BRACW#ALAGO,False,,CITY,BRA,3,CITY
Maceio,MACEI,ALL#WORLD#SOAME#BRA#BRACW#ALAGO,False,,CITY,BRA,3,CITY
Istanbul,ISTAN,ALL#WORLD#ASIA#TUR,False,,CITY,TUR,1,PROVINCE
Istanbul,TR1,ALL#WORLD#ASIA#TUR,False,,NATIONAL_REGION,TUR,1,PROVINCE
Vitoria Da Conquista,VITORIA_DA_CONQUISTA,ALL#WORLD#SOAME#BRA#BRACW#BAHIA,False,,CITY,BRA,3,CITY
Vitória da Conquista,VICDC,ALL#WORLD#SOAME#BRA#BRACW#BAHIA,False,,CITY,BRA,3,CITY
Freiburg,DE13,ALL#WORLD#EUR#DEU#DE1,False,,REGION,DEU,2,DISTRICT
Freiburg,DEU_BADEW_FREIB,ALL#WORLD#EUR#DEU#BADEW,False,,CITY,DEU,2,DISTRICT
Leipzig,DED5,ALL#WORLD#EUR#DEU#DED,False,,REGION,DEU,2,DISTRICT
Leipzig District,LEIPZIGDISTRICT---GER,ALL#WORLD#EUR#DEU#SAXON,False,,TERRITORY,DEU,2,DISTRICT
Eastern Sweden,SE1,ALL#WORLD#EUR#SWE,False,,NATIONAL_REGION,SWE,1,COUNTY
Eastern Sweden,SWE_E,ALL#WORLD#EUR#SWE,False,,NATIONAL_REGION,SWE,1,COUNTY
Primavera Do Leste,PRIMAVERA_DO_LESTE,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,BRA,3,CITY
Primavera do Leste,PDLMG,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,BRA,3,CITY
Wayne NE,WAYNEBRS,ALL#WORLD#NOAME#USA#NOPLA#NEBRA,False,,CITY,USA,3,CITY
Wayne NE,WAYNE,ALL#WORLD#NOAME#USA#NOPLA#NEBRA,False,,CITY,USA,3,CITY
Formoso Do Araguaia,FORMOSO_DO_ARAGUAIA,ALL#WORLD#SOAME#BRA#BRANO#TOCAN,False,,CITY,BRA,3,CITY
Formoso do Araguaia,FORMOSO_ARG,ALL#WORLD#SOAME#BRA#BRANO#TOCAN,False,,CITY,BRA,3,CITY
Zhenjiang,ZHENJIANG,ALL#WORLD#ASIA#CHN#JIANG,False,,CITY,CHN,2,PREFECTURE-LEVEL DIVISION
Zhanjiang,ZHANJ,ALL#WORLD#ASIA#CHN#GUANG,False,,CITY,CHN,2,PREFECTURE-LEVEL DIVISION
Sao Gabriel Do Oeste,SAO_GABRIEL_DO_OESTE,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,BRA,3,CITY
São Gabriel do Oeste,SGOMS,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,BRA,3,CITY
Molise,ITF2,ALL#WORLD#EUR#ITA#ITF,False,,REGION,ITA,2,PROVINCE
Molise,ITMOL,ALL#WORLD#EUR#ITA#ITAS,False,,STATE,ITA,2,PROVINCE
Salzburg,AUT_WEST_SALZ,ALL#WORLD#EUR#AUT#AUT_WESTOSTE,False,,CITY,AUT,2,DISTRICT
Salzburg,AT32,ALL#WORLD#EUR#AUT#AT3,False,,REGION,AUT,2,DISTRICT
Midi-Pyrénées,FRJ2,ALL#WORLD#EUR#FRA#FRJ,False,,REGION,FRA,2,DEPARTMENT
Midi-Pyrénées,MIDIP,ALL#WORLD#EUR#FRA#SOUTI,False,,STATE,FRA,2,DEPARTMENT
Asti,ITC17,ALL#WORLD#EUR#ITA#ITC#ITC1,False,,DEPARTMENT,ITA,3,MUNICIPALITY
Asti,ASTII,ALL#WORLD#EUR#ITA#ITNW#ITPIE,False,,CITY,ITA,3,MUNICIPALITY
Milan,ITC4C,ALL#WORLD#EUR#ITA#ITC#ITC4,False,,DEPARTMENT,ITA,3,MUNICIPALITY
Milan,MILAN,ALL#WORLD#EUR#ITA#ITNW#ITLOM,False,,CITY,ITA,3,MUNICIPALITY
Sumy Oblast,UA12,ALL#WORLD#EUR#UKR#UA1,False,,REGION,UKR,2,RAION
Sumy Oblast,SUMYO,ALL#WORLD#EUR#UKR#NOUKR,False,,STATE,UKR,2,RAION
Brittany,FRH0,ALL#WORLD#EUR#FRA#FRH,False,,REGION,FRA,2,DEPARTMENT
Brittany,BRITT,ALL#WORLD#EUR#FRA#WESTF,False,,STATE,FRA,2,DEPARTMENT
Kharkiv Oblast,UA13,ALL#WORLD#EUR#UKR#UA1,False,,REGION,UKR,2,RAION
Kharkiv Oblast,KHARK,ALL#WORLD#EUR#UKR#EASTU,False,,STATE,UKR,2,RAION
Gdansk,PORT_PLGDN,ALL#WORLD#EUR#POL,False,,PORT_TERMINAL,POL,1,PORT_TERMINAL
Gdańsk,PORT_GDA,ALL#WORLD#EUR#POL,False,,PORT_TERMINAL,POL,1,PORT_TERMINAL
Rio Pardo De Minas,RIO_PARDO_DE_MINAS,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Rio Pardo de Minas,RIO_PARDO_MG,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Palermo,ITG12,ALL#WORLD#EUR#ITA#ITG#ITG1,False,,DEPARTMENT,ITA,3,MUNICIPALITY
Palermo,PALRMO,ALL#WORLD#EUR#ITA#ITAI#ITSIC,False,,CITY,ITA,3,MUNICIPALITY
Champagne-Ardenne,FRF2,ALL#WORLD#EUR#FRA#FRF,False,,REGION,FRA,2,DEPARTMENT
Champagne-Ardenne,CHAMP,ALL#WORLD#EUR#FRA#PARIS,False,,STATE,FRA,2,DEPARTMENT
Odesa Oblast,ODESAO,ALL#WORLD#EUR#UKR#SOUKR,False,,STATE,UKR,2,RAION
Odesa Oblast,UA42,ALL#WORLD#EUR#UKR#UA4,False,,REGION,UKR,2,RAION
Ravenna,ITH57,ALL#WORLD#EUR#ITA#ITH#ITH5,False,,DEPARTMENT,ITA,3,MUNICIPALITY
Ravenna,RAVEN,ALL#WORLD#EUR#ITA#ITNE#ITEMR,False,,CITY,ITA,3,MUNICIPALITY
Venda Nova do Imigrante,VEND_NOV_IMG,ALL#WORLD#SOAME#BRA#BRANE#ESPIR,False,,CITY,BRA,3,CITY
Venda Nova Do Imigrante,VENDA_NOVA_DO_IMIGRANTE,ALL#WORLD#SOAME#BRA#BRANE#ESPIR,False,,CITY,BRA,3,CITY
Sardinia,ITG2,ALL#WORLD#EUR#ITA#ITG,False,,REGION,ITA,2,PROVINCE
Sardinia,ITSAR,ALL#WORLD#EUR#ITA#ITAI,False,,STATE,ITA,2,PROVINCE
Caracol,CARACOL,ALL#WORLD#SOAME#BRA#BRACW#PIAUI,False,,CITY,BRA,3,CITY
Caracol,CARMS,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,BRA,3,CITY
Pest,HUN_BUD_PEST,ALL#WORLD#EUR#HUN#BUDAP,False,,CITY,HUN,2,DISTRICT
Pest,HU12,ALL#WORLD#EUR#HUN#HU1,False,,REGION,HUN,2,DISTRICT
Southeastern Anatolia,TRC,ALL#WORLD#ASIA#TUR,False,,NATIONAL_REGION,TUR,1,PROVINCE
Southeastern Anatolia,TUR_ANATOLIA_SE,ALL#WORLD#ASIA#TUR,False,,REGION,TUR,1,PROVINCE
Alessandria,ITC18,ALL#WORLD#EUR#ITA#ITC#ITC1,False,,DEPARTMENT,ITA,3,MUNICIPALITY
Alessandria,ALESS,ALL#WORLD#EUR#ITA#ITNW#ITPIE,False,,CITY,ITA,3,MUNICIPALITY
Guarda-Mor,GUARDA-MOR,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Guarda Mor,GUARDA,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Hanover,DE92,ALL#WORLD#EUR#DEU#DE9,False,,REGION,DEU,2,DISTRICT
Hanover,HANOV,ALL#WORLD#EUR#DEU#LOWSA,False,,CITY,DEU,2,DISTRICT
Bologna,ITH55,ALL#WORLD#EUR#ITA#ITH#ITH5,False,,DEPARTMENT,ITA,3,MUNICIPALITY
Bologna,BOLOG,ALL#WORLD#EUR#ITA#ITNE#ITEMR,False,,CITY,ITA,3,MUNICIPALITY
City of Sevastopol,UA45,ALL#WORLD#EUR#UKR#UA4,False,,REGION,UKR,2,RAION
City of Sevastopol,SEVAS,ALL#WORLD#EUR#UKR#SOUKR,False,,STATE,UKR,2,RAION
Stockholm,SE11,ALL#WORLD#EUR#SWE#SE1,False,,REGION,SWE,2,MUNICIPALITY
Stockholm,STOCK,ALL#WORLD#EUR#SWE#STOCO,False,,CITY,SWE,2,MUNICIPALITY
Saxony-Anhalt,DEE,ALL#WORLD#EUR#DEU,False,,NATIONAL_REGION,DEU,1,STATE
Saxony-Anhalt Land,SAXOY,ALL#WORLD#EUR#DEU,False,,STATE,DEU,1,STATE
Belém,PORT_BRNBM,ALL#WORLD#SOAME#BRA,False,,PORT_TERMINAL,BRA,1,PORT_TERMINAL
Belém,PORT_BELEM,ALL#WORLD#SOAME#BRA,False,,PORT_TERMINAL,BRA,1,PORT_TERMINAL
Mykolaiv Oblast,UA41,ALL#WORLD#EUR#UKR#UA4,False,,REGION,UKR,2,RAION
Mykolaiv Oblast,MYKOL,ALL#WORLD#EUR#UKR#SOUKR,False,,STATE,UKR,2,RAION
Sao Mateus Do Sul,SAO_MATEUS_DO_SUL,ALL#WORLD#SOAME#BRA#BRASO#PARAN,False,,CITY,BRA,3,CITY
Sao Mateus do Sul,SAOPA,ALL#WORLD#SOAME#BRA#BRASO#PARAN,False,,CITY,BRA,3,CITY
French Guiana,FRY3,ALL#WORLD#EUR#FRA#FRY,False,,REGION,FRA,2,DEPARTMENT
French Guiana,GUF,ALL#WORLD#EUR#FRA#OVERS,False,,STATE,FRA,2,DEPARTMENT
Livorno,ITI16,ALL#WORLD#EUR#ITA#ITI#ITI1,False,,DEPARTMENT,ITA,3,MUNICIPALITY
Livorno,LIVOR,ALL#WORLD#EUR#ITA#ITAC#ITTUS,False,,CITY,ITA,3,MUNICIPALITY
Picardy,FRE2,ALL#WORLD#EUR#FRA#FRE,False,,REGION,FRA,2,DEPARTMENT
Picardy,PICAR,ALL#WORLD#EUR#FRA#PARIS,False,,STATE,FRA,2,DEPARTMENT
Colinas Do Tocantins,COLINAS_DO_TOCANTINS,ALL#WORLD#SOAME#BRA#BRANO#TOCAN,False,,CITY,BRA,3,CITY
Colinas do Tocantins,COLINAS_TOC,ALL#WORLD#SOAME#BRA#BRANO#TOCAN,False,,CITY,BRA,3,CITY
Limousin,FRI2,ALL#WORLD#EUR#FRA#FRI,False,,REGION,FRA,2,DEPARTMENT
Limousin,LIMOU,ALL#WORLD#EUR#FRA#SOUTI,False,,STATE,FRA,2,DEPARTMENT
Auvergne,FRK1,ALL#WORLD#EUR#FRA#FRK,False,,REGION,FRA,2,DEPARTMENT
Auvergne,AUVER,ALL#WORLD#EUR#FRA#CENTF,False,,STATE,FRA,2,DEPARTMENT
RIGA,RIGA,ALL#WORLD#EUR#LVA,False,,CITY,LVA,1,STATE CITY
Riga,RIGAL,ALL#WORLD#EUR#LVA,False,,CITY,LVA,1,STATE CITY
Marche,ITI3,ALL#WORLD#EUR#ITA#ITI,False,,REGION,ITA,2,PROVINCE
Marche,ITMAR,ALL#WORLD#EUR#ITA#ITAC,False,,STATE,ITA,2,PROVINCE
Brussels-Capital Region,BE1,ALL#WORLD#EUR#BEL,False,,NATIONAL_REGION,BEL,1,REGION
Brussels Capital Region,BRUSC,ALL#WORLD#EUR#BEL,False,,NATIONAL_REGION,BEL,1,REGION
Lower Normandy,FRD1,ALL#WORLD#EUR#FRA#FRD,False,,REGION,FRA,2,DEPARTMENT
Lower Normandy,LOWER,ALL#WORLD#EUR#FRA#PARIS,False,,STATE,FRA,2,DEPARTMENT
Anápolis,ANAPOLI,ALL#WORLD#SOAME#BRA#GOIAS,False,,CITY,BRA,2,MUNICIPALITY
Anapolis,ANAGO,ALL#WORLD#SOAME#BRA#GOIAS,False,,CITY,BRA,2,MUNICIPALITY
Tangará da Serra,TANGARA,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,BRA,3,CITY
Tangara Da Serra,TANGARA_DA_SERRA,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,BRA,3,CITY
Sicily,ITG1,ALL#WORLD#EUR#ITA#ITG,False,,REGION,ITA,2,PROVINCE
Sicily,ITSIC,ALL#WORLD#EUR#ITA#ITAI,False,,STATE,ITA,2,PROVINCE
Forlì-Cesena,ITH58,ALL#WORLD#EUR#ITA#ITH#ITH5,False,,DEPARTMENT,ITA,3,MUNICIPALITY
Forli Cesena,ITFOR,ALL#WORLD#EUR#ITA#ITNE#ITEMR,False,,TERRITORY,ITA,3,MUNICIPALITY
Réunion,FRY4,ALL#WORLD#EUR#FRA#FRY,False,,REGION,FRA,2,DEPARTMENT
Reunion,REU,ALL#WORLD#EUR#FRA#OVERS,False,,STATE,FRA,2,DEPARTMENT
Würzburg,WRZBURG---GER,ALL#WORLD#EUR#DEU#BAVAR,False,,TERRITORY,DEU,2,DISTRICT
Würzburg,WURZB,ALL#WORLD#EUR#DEU#BAVAR,False,,CITY,DEU,2,DISTRICT
Campania,ITF3,ALL#WORLD#EUR#ITA#ITF,False,,REGION,ITA,2,PROVINCE
Campania,ITCAM,ALL#WORLD#EUR#ITA#ITAS,False,,STATE,ITA,2,PROVINCE
Caiapônia,CAIA,ALL#WORLD#SOAME#BRA#GOIAS,False,,CITY,BRA,2,MUNICIPALITY
Caiaponia,CAIGO,ALL#WORLD#SOAME#BRA#GOIAS,False,,CITY,BRA,2,MUNICIPALITY
Île-de-France,FR1,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION
Ile-De-France,ILEDE,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION
Rhône-Alpes,FRK2,ALL#WORLD#EUR#FRA#FRK,False,,REGION,FRA,2,DEPARTMENT
Rhône-Alpes,RHNEA,ALL#WORLD#EUR#FRA#CENTF,False,,STATE,FRA,2,DEPARTMENT
Veneto,ITH3,ALL#WORLD#EUR#ITA#ITH,False,,REGION,ITA,2,PROVINCE
Veneto,ITVEN,ALL#WORLD#EUR#ITA#ITNE,False,,STATE,ITA,2,PROVINCE
Friuli Venezia Giulia,ITH4,ALL#WORLD#EUR#ITA#ITH,False,,REGION,ITA,2,PROVINCE
Friuli-Venezia Giulia,ITFRI,ALL#WORLD#EUR#ITA#ITNE,False,,STATE,ITA,2,PROVINCE
Cologne,DEA2,ALL#WORLD#EUR#DEU#DEA,False,,REGION,DEU,2,DISTRICT
Cologne,COLOG,ALL#WORLD#EUR#DEU#NRHWE,False,,CITY,DEU,2,DISTRICT
Basilicata,ITBAS,ALL#WORLD#EUR#ITA#ITAS,False,,STATE,ITA,2,PROVINCE
Basilicata,ITF5,ALL#WORLD#EUR#ITA#ITF,False,,REGION,ITA,2,PROVINCE
Flemish Region,FLERE,ALL#WORLD#EUR#BEL,False,,NATIONAL_REGION,BEL,1,REGION
Flemish Region,BE2,ALL#WORLD#EUR#BEL,False,,NATIONAL_REGION,BEL,1,REGION
Dresden,DRESD,ALL#WORLD#EUR#DEU#SAXON,False,,CITY,DEU,2,DISTRICT
Dresden,DED2,ALL#WORLD#EUR#DEU#DED,False,,REGION,DEU,2,DISTRICT
Guaira,GAIPA,ALL#WORLD#SOAME#BRA#BRASO#PARAN,False,,CITY,BRA,3,CITY
Guaíra,GUASA,ALL#WORLD#SOAME#BRA#BRANE#SAOPO,False,,CITY,BRA,3,CITY
Dnipropetrovsk Oblast,DNIPR,ALL#WORLD#EUR#UKR#CENTE,False,,STATE,UKR,2,RAION
Dnipropetrovsk Oblast,UA31,ALL#WORLD#EUR#UKR#UA3,False,,REGION,UKR,2,RAION
Donetsk Oblast,DONET,ALL#WORLD#EUR#UKR#EASTU,False,,STATE,UKR,2,RAION
Donetsk Oblast,UA21,ALL#WORLD#EUR#UKR#UA2,False,,REGION,UKR,2,RAION
Oman,OMAN,ALL#WORLD#ASIA,False,,COUNTRY,Asia,0,COUNTRY
Oman,OMN,ALL#WORLD#ASIA,False,,COUNTRY,Asia,0,COUNTRY
San Marino ,SAN_MARINO,ALL#WORLD#EUR,False,,COUNTRY,Europe,0,COUNTRY
San Marino,SMR,ALL#WORLD#EUR,False,,COUNTRY,Europe,0,COUNTRY
