NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,Valid
Münster,DEU_NW_MUN,ALL#WORLD#EUR#DEU#DE-NW,False,,CITY,DEU,2,DISTRICT,False
Münster,DEA3,ALL#WORLD#EUR#DEU#DEA,False,,REGION,DEU,2,DISTRICT,True
Lower Franconia,DEU_BAV_LOWFRANC,ALL#WORLD#EUR#DEU#BAVAR,False,,DEPARTMENT,DEU,2,DISTRICT,False
Lower Franconia,DE26,ALL#WORLD#EUR#DEU#DE2,False,,REGION,DEU,2,DISTRICT,True
Detmold,DEA4,ALL#WORLD#EUR#DEU#DEA,False,,REGION,DEU,2,DISTRICT,True
Detmold,DEU_NW_DETMOLD,ALL#WORLD#EUR#DEU#DE-NW,False,,CITY,DEU,2,DISTRICT,False
Aosta Valley,ITC2,ALL#WORLD#EUR#ITA#ITC,False,,REGION,ITA,2,PROVINCE,True
Aosta Valley,ITAOS,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,ITA,2,PROVINCE,False
Tübingen,TBINGEN---GER,ALL#WORLD#EUR#DEU#BADEW,False,,TERRITORY,DEU,2,DISTRICT,False
Tübingen,DE14,ALL#WORLD#EUR#DEU#DE1,False,,REGION,DEU,2,DISTRICT,True
Umbria,ITI2,ALL#WORLD#EUR#ITA#ITI,False,,REGION,ITA,2,PROVINCE,True
Umbria,ITUMB,ALL#WORLD#EUR#ITA#ITAC,False,,STATE,ITA,2,PROVINCE,False
Upper Franconia,DEU_BAV_UPPERFRANC,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,DEU,2,DISTRICT,False
Upper Franconia,DE24,ALL#WORLD#EUR#DEU#DE2,False,,REGION,DEU,2,DISTRICT,True
Lorraine,FRF3,ALL#WORLD#EUR#FRA#FRF,False,,REGION,FRA,2,DEPARTMENT,True
Lorraine,LORRA,ALL#WORLD#EUR#FRA#EASTF,False,,STATE,FRA,2,DEPARTMENT,False
Catania,ITG17,ALL#WORLD#EUR#ITA#ITG#ITG1,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Catania,ITCAT,ALL#WORLD#EUR#ITA#ITAI#ITSIC,False,,CITY,ITA,3,MUNICIPALITY,False
Siena,ITI19,ALL#WORLD#EUR#ITA#ITI#ITI1,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Siena,SIENA,ALL#WORLD#EUR#ITA#ITAC#ITTUS,False,,CITY,ITA,3,MUNICIPALITY,False
Chemnitz,DEU_SN_CHEMN,ALL#WORLD#EUR#DEU#DE-SN,False,,CITY,DEU,2,DISTRICT,False
Chemnitz,DED4,ALL#WORLD#EUR#DEU#DED,False,,REGION,DEU,2,DISTRICT,True
Thuringia,DEU_THURINGIA,ALL#WORLD#EUR#DEU,False,,REGION,DEU,1,STATE,False
Thuringia,DEG,ALL#WORLD#EUR#DEU,False,,NATIONAL_REGION,DEU,1,STATE,False
Vorarlberg,AT34,ALL#WORLD#EUR#AUT#AT3,False,,REGION,AUT,2,DISTRICT,True
Vorarlberg,AUT_WEST_VORARLBERG,ALL#WORLD#EUR#AUT#AUT_WESTOSTE,False,,REGION,AUT,2,DISTRICT,False
Poltava Oblast,UA11,ALL#WORLD#EUR#UKR#UA1,False,,REGION,UKR,2,RAION,True
Poltava Oblast,POLTA,ALL#WORLD#EUR#UKR#CENTE,False,,STATE,UKR,2,RAION,False
Central Italy,ITI,ALL#WORLD#EUR#ITA,False,,NATIONAL_REGION,ITA,1,AUTONOMOUS REGION,False
Central Italy,ITAC,ALL#WORLD#EUR#ITA,False,,NATIONAL_REGION,ITA,1,AUTONOMOUS REGION,False
Lower Bavaria,DE22,ALL#WORLD#EUR#DEU#DE2,False,,REGION,DEU,2,DISTRICT,True
Lower Bavaria,DEU_BAV_LOWBAY,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,DEU,2,DISTRICT,False
Kherson Oblast,UA43,ALL#WORLD#EUR#UKR#UA4,False,,REGION,UKR,2,RAION,True
Kherson Oblast,KHERS,ALL#WORLD#EUR#UKR#SOUKR,False,,STATE,UKR,2,RAION,False
Foggia,ITF46,ALL#WORLD#EUR#ITA#ITF#ITF4,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Foggia,FOGGI,ALL#WORLD#EUR#ITA#ITAS#ITAPU,False,,CITY,ITA,3,MUNICIPALITY,False
Bari,ITF47,ALL#WORLD#EUR#ITA#ITF#ITF4,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Bari,BARII,ALL#WORLD#EUR#ITA#ITAS#ITAPU,False,,CITY,ITA,3,MUNICIPALITY,False
Lombardy,ITC4,ALL#WORLD#EUR#ITA#ITC,False,,REGION,ITA,2,PROVINCE,True
Lombardy,ITLOM,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,ITA,2,PROVINCE,False
Middle Franconia,DEU_BAV_MIDFRANC,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,DEU,2,DISTRICT,False
Middle Franconia,DE25,ALL#WORLD#EUR#DEU#DE2,False,,REGION,DEU,2,DISTRICT,True
West,RO42,ALL#WORLD#EUR#ROU#RO4,False,,REGION,ROU,2,COMMUNES AND VILLAGE,True
West,ROU_SWO_W,ALL#WORLD#EUR#ROU#ROU_SWO,False,,REGION,ROU,2,COMMUNES AND VILLAGE,False
Burgundy,FRC1,ALL#WORLD#EUR#FRA#FRC,False,,REGION,FRA,2,DEPARTMENT,True
Burgundy,BURGU,ALL#WORLD#EUR#FRA#PARIS,False,,STATE,FRA,2,DEPARTMENT,False
Oslo,NOR_OSL,ALL#WORLD#EUR#NOR,False,,CITY,NOR,1,COUNTY,False
Oslo County,NOR_OSLCNTY,ALL#WORLD#EUR#NOR,False,,COUNTY,NOR,1,COUNTY,False
Grand Est,FRF,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION,False
Grand-Est,GRAND_EST,ALL#WORLD#EUR#FRA,False,,REGION,FRA,1,METROPOLITAN REGION,False
Coastal-Karst,SI044,ALL#WORLD#EUR#SVN#SI0#SI04,False,,DEPARTMENT,SVN,3,DEPARTMENT,True
Coastal-Karst,SI038,ALL#WORLD#EUR#SVN#SI0#SI03,False,,DEPARTMENT,SVN,3,DEPARTMENT,True --- ask abt this
Canary Islands,CANARY,ALL#WORLD#EUR#ESP,False,,NATIONAL_REGION,ESP,1,AUTONOMOUS COMMUNITY,False
Canary Islands,ES7,ALL#WORLD#EUR#ESP,False,,NATIONAL_REGION,ESP,1,AUTONOMOUS COMMUNITY,True
Genoa,ITC33,ALL#WORLD#EUR#ITA#ITC#ITC3,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Genoa,GENOA,ALL#WORLD#EUR#ITA#ITNW#ITLIG,False,,CITY,ITA,3,MUNICIPALITY,False
Liguria,ITC3,ALL#WORLD#EUR#ITA#ITC,False,,REGION,ITA,2,PROVINCE,True
Liguria,ITLIG,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,ITA,2,PROVINCE,False
Stuttgart,DE11,ALL#WORLD#EUR#DEU#DE1,False,,REGION,DEU,2,DISTRICT,True
Stuttgart,STUTT,ALL#WORLD#EUR#DEU#BADEW,False,,CITY,DEU,2,DISTRICT,False
Emilia-Romagna,ITH5,ALL#WORLD#EUR#ITA#ITH,False,,REGION,ITA,2,PROVINCE,True
Emilia-Romagna,ITEMR,ALL#WORLD#EUR#ITA#ITNE,False,,STATE,ITA,2,PROVINCE,False
Upper Palatinate,DE23,ALL#WORLD#EUR#DEU#DE2,False,,REGION,DEU,2,DISTRICT,True
Upper Palatinate,DEU_BAV_UPPERPALATI,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,DEU,2,DISTRICT,False
Nord - Pas-de-Calais,NPC,ALL#WORLD#EUR#FRA,False,,REGION,FRA,1,METROPOLITAN REGION,False
Nord-Pas-de-Calais,NORDP,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION,False
Zakarpatska Oblast,UA71,ALL#WORLD#EUR#UKR#UA7,False,,REGION,UKR,2,RAION,True
Zakarpatska Oblast,ZAKAR,ALL#WORLD#EUR#UKR#WESTU,False,,STATE,UKR,2,RAION,False
Karlsruhe,KARLSRUHE---GER,ALL#WORLD#EUR#DEU#BADEW,False,,TERRITORY,DEU,2,DISTRICT,False
Karlsruhe,DE12,ALL#WORLD#EUR#DEU#DE1,False,,REGION,DEU,2,DISTRICT,True
Centre-Val de Loire,CENTRVAL,ALL#WORLD#EUR#FRA,False,,REGION,FRA,1,METROPOLITAN REGION,False
Centre-Val de Loire,FRB,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION,False
Provence-Alpes-Côte d’Azur,FRL0,ALL#WORLD#EUR#FRA#FRL,False,,REGION,FRA,2,DEPARTMENT,True
Provence-Alpes-Côte d'Azur,PROVE,ALL#WORLD#EUR#FRA#MEDIT,False,,STATE,FRA,2,DEPARTMENT,False
Corsica,FRM0,ALL#WORLD#EUR#FRA#FRM,False,,REGION,FRA,2,DEPARTMENT,True
Corsica,CORSI,ALL#WORLD#EUR#FRA#MEDIT,False,,STATE,FRA,2,DEPARTMENT,False
Naples,ITF33,ALL#WORLD#EUR#ITA#ITF#ITF3,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Naples,NAPLE,ALL#WORLD#EUR#ITA#ITAS#ITCAM,False,,CITY,ITA,3,MUNICIPALITY,False
Aquitaine,FRI1,ALL#WORLD#EUR#FRA#FRI,False,,REGION,FRA,2,DEPARTMENT,True
Aquitaine,AQUIT,ALL#WORLD#EUR#FRA#SOUTI,False,,STATE,FRA,2,DEPARTMENT,False
Tuscany,ITI1,ALL#WORLD#EUR#ITA#ITI,False,,REGION,ITA,2,PROVINCE,True
Tuscany,ITTUS,ALL#WORLD#EUR#ITA#ITAC,False,,STATE,ITA,2,PROVINCE,False
Pays de la Loire,FRG0,ALL#WORLD#EUR#FRA#FRG,False,,REGION,FRA,2,DEPARTMENT,True
Pays de la Loire,PAYSD,ALL#WORLD#EUR#FRA#WESTF,False,,STATE,FRA,2,DEPARTMENT,False
Apulia,ITF4,ALL#WORLD#EUR#ITA#ITF,False,,REGION,ITA,2,PROVINCE,True
Apulia,ITAPU,ALL#WORLD#EUR#ITA#ITAS,False,,STATE,ITA,2,PROVINCE,False
Lüneburg,DE93,ALL#WORLD#EUR#DEU#DE9,False,,REGION,DEU,2,DISTRICT,True
Lüneburg,LNEBURG-GER,ALL#WORLD#EUR#DEU#LOWSA,False,,TERRITORY,DEU,2,DISTRICT,False
Kirovohrad Oblast,UA33,ALL#WORLD#EUR#UKR#UA3,False,,REGION,UKR,2,RAION,True
Kirovograd Oblast,KIROO,ALL#WORLD#EUR#UKR#CENTE,False,,STATE,UKR,2,RAION,False
Hamburg,PORT_HAMBURG,ALL#WORLD#EUR#DEU,False,,CITY,DEU,1,STATE,False
Hamburg,DE6,ALL#WORLD#EUR#DEU,False,,NATIONAL_REGION,DEU,1,STATE,True
Guadeloupe,FRY1,ALL#WORLD#EUR#FRA#FRY,False,,REGION,FRA,2,DEPARTMENT,True
Guadeloupe,GLP,ALL#WORLD#EUR#FRA#OVERS,False,,STATE,FRA,2,DEPARTMENT,False
Piedmont,ITC1,ALL#WORLD#EUR#ITA#ITC,False,,REGION,ITA,2,PROVINCE,True
Piedmont,ITPIE,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,ITA,2,PROVINCE,False
Poitou-Charentes,FRI3,ALL#WORLD#EUR#FRA#FRI,False,,REGION,FRA,2,DEPARTMENT,True
Poitou-Charentes,POITO,ALL#WORLD#EUR#FRA#WESTF,False,,STATE,FRA,2,DEPARTMENT,False
Upper Normandy,FRD2,ALL#WORLD#EUR#FRA#FRD,False,,REGION,FRA,2,DEPARTMENT,True
Upper Normandy,UPPER,ALL#WORLD#EUR#FRA#PARIS,False,,STATE,FRA,2,DEPARTMENT,False
Franche-Comté,FRC2,ALL#WORLD#EUR#FRA#FRC,False,,REGION,FRA,2,DEPARTMENT,True
Franche-Comté,FRANC,ALL#WORLD#EUR#FRA#EASTF,False,,STATE,FRA,2,DEPARTMENT,False
Martinique,FRY2,ALL#WORLD#EUR#FRA#FRY,False,,REGION,FRA,2,DEPARTMENT,True
Martinique,MTQ,ALL#WORLD#EUR#FRA#OVERS,False,,STATE,FRA,2,DEPARTMENT,False
Calabria,ITF6,ALL#WORLD#EUR#ITA#ITF,False,,REGION,ITA,2,PROVINCE,True
Calabria,ITCAL,ALL#WORLD#EUR#ITA#ITAS,False,,STATE,ITA,2,PROVINCE,False
Lazio,ITI4,ALL#WORLD#EUR#ITA#ITI,False,,REGION,ITA,2,PROVINCE,True
Lazio,ITLAZ,ALL#WORLD#EUR#ITA#ITAC,False,,STATE,ITA,2,PROVINCE,False
Central Hungary,HU1,ALL#WORLD#EUR#HUN,False,,NATIONAL_REGION,HUN,1,CAPITAL CITY,True
Central Hungary,HUN_CENT,ALL#WORLD#EUR#HUN,False,,NATIONAL_REGION,HUN,1,CAPITAL CITY,False
Alsace,FRF1,ALL#WORLD#EUR#FRA#FRF,False,,REGION,FRA,2,DEPARTMENT,True
Alsace,ALSAC,ALL#WORLD#EUR#FRA#EASTF,False,,STATE,FRA,2,DEPARTMENT,False
Occitanie,OCCITANIE,ALL#WORLD#EUR#FRA,False,,REGION,FRA,1,METROPOLITAN REGION,False
Occitanie,FRJ,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION,False
Abruzzo,ITF1,ALL#WORLD#EUR#ITA#ITF,False,,REGION,ITA,2,PROVINCE,True
Abruzzo,ITABR,ALL#WORLD#EUR#ITA#ITAS,False,,STATE,ITA,2,PROVINCE,False
Languedoc-Roussillon,FRJ1,ALL#WORLD#EUR#FRA#FRJ,False,,REGION,FRA,2,DEPARTMENT,True
Languedoc-Roussillon,LANGU,ALL#WORLD#EUR#FRA#MEDIT,False,,STATE,FRA,2,DEPARTMENT,False
Freiburg,DE13,ALL#WORLD#EUR#DEU#DE1,False,,REGION,DEU,2,DISTRICT,True
Freiburg,DEU_BADEW_FREIB,ALL#WORLD#EUR#DEU#BADEW,False,,CITY,DEU,2,DISTRICT,False
Leipzig,DED5,ALL#WORLD#EUR#DEU#DED,False,,REGION,DEU,2,DISTRICT,True
Leipzig District,LEIPZIGDISTRICT---GER,ALL#WORLD#EUR#DEU#SAXON,False,,TERRITORY,DEU,2,DISTRICT,False
Eastern Sweden,SE1,ALL#WORLD#EUR#SWE,False,,NATIONAL_REGION,SWE,1,COUNTY,False
Eastern Sweden,SWE_E,ALL#WORLD#EUR#SWE,False,,NATIONAL_REGION,SWE,1,COUNTY,False
Molise,ITF2,ALL#WORLD#EUR#ITA#ITF,False,,REGION,ITA,2,PROVINCE,True
Molise,ITMOL,ALL#WORLD#EUR#ITA#ITAS,False,,STATE,ITA,2,PROVINCE,False
Salzburg,AUT_WEST_SALZ,ALL#WORLD#EUR#AUT#AUT_WESTOSTE,False,,CITY,AUT,2,DISTRICT,False
Salzburg,AT32,ALL#WORLD#EUR#AUT#AT3,False,,REGION,AUT,2,DISTRICT,True
Midi-Pyrénées,FRJ2,ALL#WORLD#EUR#FRA#FRJ,False,,REGION,FRA,2,DEPARTMENT,True
Midi-Pyrénées,MIDIP,ALL#WORLD#EUR#FRA#SOUTI,False,,STATE,FRA,2,DEPARTMENT,False
Asti,ITC17,ALL#WORLD#EUR#ITA#ITC#ITC1,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Asti,ASTII,ALL#WORLD#EUR#ITA#ITNW#ITPIE,False,,CITY,ITA,3,MUNICIPALITY,False
Milan,ITC4C,ALL#WORLD#EUR#ITA#ITC#ITC4,False,,DEPARTMENT,ITA,3,MUNICIPALITY,False
Milan,MILAN,ALL#WORLD#EUR#ITA#ITNW#ITLOM,False,,CITY,ITA,3,MUNICIPALITY,False
Sumy Oblast,UA12,ALL#WORLD#EUR#UKR#UA1,False,,REGION,UKR,2,RAION,True
Sumy Oblast,SUMYO,ALL#WORLD#EUR#UKR#NOUKR,False,,STATE,UKR,2,RAION,False
Brittany,FRH0,ALL#WORLD#EUR#FRA#FRH,False,,REGION,FRA,2,DEPARTMENT,True
Brittany,BRITT,ALL#WORLD#EUR#FRA#WESTF,False,,STATE,FRA,2,DEPARTMENT,False
Kharkiv Oblast,UA13,ALL#WORLD#EUR#UKR#UA1,False,,REGION,UKR,2,RAION,True
Kharkiv Oblast,KHARK,ALL#WORLD#EUR#UKR#EASTU,False,,STATE,UKR,2,RAION,False
Palermo,ITG12,ALL#WORLD#EUR#ITA#ITG#ITG1,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Palermo,PALRMO,ALL#WORLD#EUR#ITA#ITAI#ITSIC,False,,CITY,ITA,3,MUNICIPALITY,False
Champagne-Ardenne,FRF2,ALL#WORLD#EUR#FRA#FRF,False,,REGION,FRA,2,DEPARTMENT,True
Champagne-Ardenne,CHAMP,ALL#WORLD#EUR#FRA#PARIS,False,,STATE,FRA,2,DEPARTMENT,False
Odesa Oblast,ODESAO,ALL#WORLD#EUR#UKR#SOUKR,False,,STATE,UKR,2,RAION,False
Odesa Oblast,UA42,ALL#WORLD#EUR#UKR#UA4,False,,REGION,UKR,2,RAION,True
Ravenna,ITH57,ALL#WORLD#EUR#ITA#ITH#ITH5,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Ravenna,RAVEN,ALL#WORLD#EUR#ITA#ITNE#ITEMR,False,,CITY,ITA,3,MUNICIPALITY,False
Sardinia,ITG2,ALL#WORLD#EUR#ITA#ITG,False,,REGION,ITA,2,PROVINCE,True
Sardinia,ITSAR,ALL#WORLD#EUR#ITA#ITAI,False,,STATE,ITA,2,PROVINCE,False
Pest,HUN_BUD_PEST,ALL#WORLD#EUR#HUN#BUDAP,False,,CITY,HUN,2,DISTRICT,False
Pest,HU12,ALL#WORLD#EUR#HUN#HU1,False,,REGION,HUN,2,DISTRICT,True
Alessandria,ITC18,ALL#WORLD#EUR#ITA#ITC#ITC1,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Alessandria,ALESS,ALL#WORLD#EUR#ITA#ITNW#ITPIE,False,,CITY,ITA,3,MUNICIPALITY,False
Hanover,DE92,ALL#WORLD#EUR#DEU#DE9,False,,REGION,DEU,2,DISTRICT,True
Hanover,HANOV,ALL#WORLD#EUR#DEU#LOWSA,False,,CITY,DEU,2,DISTRICT,False
Bologna,ITH55,ALL#WORLD#EUR#ITA#ITH#ITH5,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Bologna,BOLOG,ALL#WORLD#EUR#ITA#ITNE#ITEMR,False,,CITY,ITA,3,MUNICIPALITY,False
City of Sevastopol,UA45,ALL#WORLD#EUR#UKR#UA4,False,,REGION,UKR,2,RAION,True
City of Sevastopol,SEVAS,ALL#WORLD#EUR#UKR#SOUKR,False,,STATE,UKR,2,RAION,False
Stockholm,SE11,ALL#WORLD#EUR#SWE#SE1,False,,REGION,SWE,2,MUNICIPALITY,True
Stockholm,STOCK,ALL#WORLD#EUR#SWE#STOCO,False,,CITY,SWE,2,MUNICIPALITY,False
Saxony-Anhalt,DEE,ALL#WORLD#EUR#DEU,False,,NATIONAL_REGION,DEU,1,STATE,False
Saxony-Anhalt Land,SAXOY,ALL#WORLD#EUR#DEU,False,,STATE,DEU,1,STATE,False
Mykolaiv Oblast,UA41,ALL#WORLD#EUR#UKR#UA4,False,,REGION,UKR,2,RAION,True
Mykolaiv Oblast,MYKOL,ALL#WORLD#EUR#UKR#SOUKR,False,,STATE,UKR,2,RAION,False
French Guiana,FRY3,ALL#WORLD#EUR#FRA#FRY,False,,REGION,FRA,2,DEPARTMENT,True
French Guiana,GUF,ALL#WORLD#EUR#FRA#OVERS,False,,STATE,FRA,2,DEPARTMENT,False
Livorno,ITI16,ALL#WORLD#EUR#ITA#ITI#ITI1,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Livorno,LIVOR,ALL#WORLD#EUR#ITA#ITAC#ITTUS,False,,CITY,ITA,3,MUNICIPALITY,False
Picardy,FRE2,ALL#WORLD#EUR#FRA#FRE,False,,REGION,FRA,2,DEPARTMENT,True
Picardy,PICAR,ALL#WORLD#EUR#FRA#PARIS,False,,STATE,FRA,2,DEPARTMENT,False
Limousin,FRI2,ALL#WORLD#EUR#FRA#FRI,False,,REGION,FRA,2,DEPARTMENT,True
Limousin,LIMOU,ALL#WORLD#EUR#FRA#SOUTI,False,,STATE,FRA,2,DEPARTMENT,False
Auvergne,FRK1,ALL#WORLD#EUR#FRA#FRK,False,,REGION,FRA,2,DEPARTMENT,True
Auvergne,AUVER,ALL#WORLD#EUR#FRA#CENTF,False,,STATE,FRA,2,DEPARTMENT,False
RIGA,RIGA,ALL#WORLD#EUR#LVA,False,,CITY,LVA,1,STATE CITY,False
Riga,RIGAL,ALL#WORLD#EUR#LVA,False,,CITY,LVA,1,STATE CITY,False
Marche,ITI3,ALL#WORLD#EUR#ITA#ITI,False,,REGION,ITA,2,PROVINCE,True
Marche,ITMAR,ALL#WORLD#EUR#ITA#ITAC,False,,STATE,ITA,2,PROVINCE,False
Brussels-Capital Region,BE1,ALL#WORLD#EUR#BEL,False,,NATIONAL_REGION,BEL,1,REGION,True
Brussels Capital Region,BRUSC,ALL#WORLD#EUR#BEL,False,,NATIONAL_REGION,BEL,1,REGION,False
Lower Normandy,FRD1,ALL#WORLD#EUR#FRA#FRD,False,,REGION,FRA,2,DEPARTMENT,True
Lower Normandy,LOWER,ALL#WORLD#EUR#FRA#PARIS,False,,STATE,FRA,2,DEPARTMENT,False
Sicily,ITG1,ALL#WORLD#EUR#ITA#ITG,False,,REGION,ITA,2,PROVINCE,True
Sicily,ITSIC,ALL#WORLD#EUR#ITA#ITAI,False,,STATE,ITA,2,PROVINCE,False
Forlì-Cesena,ITH58,ALL#WORLD#EUR#ITA#ITH#ITH5,False,,DEPARTMENT,ITA,3,MUNICIPALITY,True
Forli Cesena,ITFOR,ALL#WORLD#EUR#ITA#ITNE#ITEMR,False,,TERRITORY,ITA,3,MUNICIPALITY,False
Réunion,FRY4,ALL#WORLD#EUR#FRA#FRY,False,,REGION,FRA,2,DEPARTMENT,True
Reunion,REU,ALL#WORLD#EUR#FRA#OVERS,False,,STATE,FRA,2,DEPARTMENT,False
Würzburg,WRZBURG---GER,ALL#WORLD#EUR#DEU#BAVAR,False,,TERRITORY,DEU,2,DISTRICT,False
Würzburg,WURZB,ALL#WORLD#EUR#DEU#BAVAR,False,,CITY,DEU,2,DISTRICT,False
Campania,ITF3,ALL#WORLD#EUR#ITA#ITF,False,,REGION,ITA,2,PROVINCE,True
Campania,ITCAM,ALL#WORLD#EUR#ITA#ITAS,False,,STATE,ITA,2,PROVINCE,False
Île-de-France,FR1,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION,True
Ile-De-France,ILEDE,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION,False
Rhône-Alpes,FRK2,ALL#WORLD#EUR#FRA#FRK,False,,REGION,FRA,2,DEPARTMENT,True
Rhône-Alpes,RHNEA,ALL#WORLD#EUR#FRA#CENTF,False,,STATE,FRA,2,DEPARTMENT,False
Veneto,ITH3,ALL#WORLD#EUR#ITA#ITH,False,,REGION,ITA,2,PROVINCE,True
Veneto,ITVEN,ALL#WORLD#EUR#ITA#ITNE,False,,STATE,ITA,2,PROVINCE,False
Friuli Venezia Giulia,ITH4,ALL#WORLD#EUR#ITA#ITH,False,,REGION,ITA,2,PROVINCE,True
Friuli-Venezia Giulia,ITFRI,ALL#WORLD#EUR#ITA#ITNE,False,,STATE,ITA,2,PROVINCE,False
Cologne,DEA2,ALL#WORLD#EUR#DEU#DEA,False,,REGION,DEU,2,DISTRICT,True
Cologne,COLOG,ALL#WORLD#EUR#DEU#NRHWE,False,,CITY,DEU,2,DISTRICT,False
Basilicata,ITBAS,ALL#WORLD#EUR#ITA#ITAS,False,,STATE,ITA,2,PROVINCE,False
Basilicata,ITF5,ALL#WORLD#EUR#ITA#ITF,False,,REGION,ITA,2,PROVINCE,True
Flemish Region,FLERE,ALL#WORLD#EUR#BEL,False,,NATIONAL_REGION,BEL,1,REGION,False
Flemish Region,BE2,ALL#WORLD#EUR#BEL,False,,NATIONAL_REGION,BEL,1,REGION,True
Dresden,DRESD,ALL#WORLD#EUR#DEU#SAXON,False,,CITY,DEU,2,DISTRICT,False
Dresden,DED2,ALL#WORLD#EUR#DEU#DED,False,,REGION,DEU,2,DISTRICT,True
Dnipropetrovsk Oblast,DNIPR,ALL#WORLD#EUR#UKR#CENTE,False,,STATE,UKR,2,RAION,False
Dnipropetrovsk Oblast,UA31,ALL#WORLD#EUR#UKR#UA3,False,,REGION,UKR,2,RAION,True
Donetsk Oblast,DONET,ALL#WORLD#EUR#UKR#EASTU,False,,STATE,UKR,2,RAION,False
Donetsk Oblast,UA21,ALL#WORLD#EUR#UKR#UA2,False,,REGION,UKR,2,RAION,True
